contract_type,detail_url,job_type,location,salary,title
Permanent,/jobs/data-analyst/52064970?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,London,"£35,000 - £40,000 per annum",Data Analyst
Permanent,/jobs/data-analyst/52234392?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Birmingham,"£30,000 - £40,000 per annum",Data Analyst
Permanent,/jobs/data-analyst/52232586?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Herefordshire,"£28,000 - £35,000 per annum",Data Analyst
Permanent,/jobs/data-analyst/52045278?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Wolverhampton,"£45,000 - £50,000 per annum",Data Analyst 
Permanent,/jobs/data-analyst/52008558?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Manchester,"£33,000 - £38,000 per annum",Data Analyst
Contract,/jobs/data-analyst/52183966?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Manchester,£250 - £300 per day,Data Analyst
Permanent,/jobs/data-analyst/52101483?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Birmingham,"£30,000 - £37,000 per annum",Data Analyst
Permanent,/jobs/data-analyst/52204586?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,London,"£40,000 - £45,000 per annum",Data Analyst
Permanent,/jobs/data-analyst/52160383?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Leamington Spa,"£30,000 - £35,000 per annum",Data Analyst
Permanent,/jobs/data-analyst/52138532?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Liverpool,"£40,000 - £50,000 per annum",Data Analyst
Permanent,/jobs/data-analyst/52214773?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Romford,"£30,000 - £40,000 per annum",Data Analyst
Contract,/jobs/data-analyst/52192556?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Guildford,£100 - £250 per day,Data Analyst
Permanent,/jobs/data-analyst/52179172?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,London,"£30,000 - £40,000 per annum",Data Analyst
Permanent,/jobs/data-analyst/52149191?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Hemel Hempstead,"£30,000 - £60,000 per annum",Data Analyst
Contract,/jobs/data-analyst/52159596?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,London,£400 - £450 per day,Data Analyst
Permanent,/jobs/data-analyst/52200355?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Leicester,Competitive salary,Data analyst
Permanent,/jobs/data-analyst/52046166?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Coventry,Salary negotiable,Data Analyst
Permanent,/jobs/senior-data-governance-analyst-banking/52183890?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,London,"£70,000 - £75,000 per annum",Senior Data Governance Analyst - Banking 
Contract,/jobs/data-analyst/52017257?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Manchester,£300 per day,Data Analyst
Permanent,/jobs/data-analyst/52123528?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Milton Keynes,Competitive salary,Data Analyst
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Permanent,/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,full-time,Loughborough,Competitive salary,Risk Data Analyst
Contract,/jobs/data-governance-analyst/52168319?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,full-time,Netherlands,€95 - €110 per hour,Data Governance Analyst
